,Equity (SPY),Long Treasuries (TLT),Short Treasuries (SHY),Gold (GLD),Oil (DBO)
2021-05-25,0.026474075,0.035901316,-0.0014844507,-0.07174618,0.09771812
2021-05-26,0.030012643,0.037678987,-0.0019134444,-0.06656716,0.1016184
2021-05-27,0.037102453,0.047726415,-0.001449106,-0.060424253,0.10341602
2021-05-28,0.03349215,0.060967416,-0.0011014699,-0.05923815,0.08355095
2021-06-01,0.037901357,0.07001161,-0.00077736715,-0.052744005,0.039061107
2021-06-02,0.028148688,0.07160859,-0.00042904093,-0.058274563,0.04569939
2021-06-03,0.042485155,0.061207384,-0.00042919,-0.03518708,0.061924487
2021-06-04,0.03695625,0.046308003,-0.0010087339,-0.047154583,0.055481743
2021-06-07,0.03451248,0.0417038,-0.0017053272,-0.04985327,0.071430884
2021-06-08,0.03579016,0.045999758,-0.0012405013,-0.036058642,0.032426897
2021-06-09,0.033862125,0.048179388,-0.00089335267,-0.033963837,0.027136466
2021-06-10,0.02134996,0.04031056,-0.0013566568,-0.048000004,0.02227606
2021-06-11,0.004820421,0.06361697,-0.0006606172,-0.035503972,-0.04850935
2021-06-14,0.016812826,0.061619334,0.00015066884,-0.03092375,-0.04152002
2021-06-15,0.026712358,0.05007675,-8.1163635e-05,-0.030865077,-0.015097702
2021-06-16,0.03440308,0.06033622,0.00096263085,-0.011875533,0.003159617
2021-06-17,0.044970598,0.038763676,0.0010788497,0.016207952,0.0277685
2021-06-18,0.061004348,0.017165741,0.0016595867,0.019394832,0.02685795
2021-06-21,0.04222229,0.044664588,0.0016589004,0.00888527,0.0047060186
2021-06-22,0.03647991,0.042291865,0.0011950551,0.018120501,0.0062499624
2021-06-23,0.041824903,0.039309848,0.0018916179,0.0298264,0.019268282
2021-06-24,0.031058257,0.042398296,0.0020068751,0.022510413,0.01385699
2021-06-25,0.025412127,0.061715487,0.002493866,0.017966006,-0.021020643
2021-06-28,0.03150063,0.052017927,0.002144872,0.017318275,-0.0133492425
2021-06-29,0.026031915,0.052401103,0.0019138115,0.028115245,-0.051660184
2021-06-30,0.0315034,0.04284696,0.0012173741,0.019313559,-0.031523544
2021-07-01,0.027633296,0.02595005,0.0010669846,-0.009430596,-0.05113186
2021-07-02,0.019204699,0.016340543,0.00025439687,-0.03386234,-0.07921792
2021-07-06,0.022271099,5.8794805e-05,-0.00044080752,-0.03850238,-0.03403589
2021-07-07,0.021225136,-0.009375733,-9.292769e-05,-0.028611127,0.0023914136
2021-07-08,0.032398824,-0.014925654,-0.0005566351,-0.027715266,-0.019787073
2021-07-09,0.023598857,0.0149092125,-9.3117356e-05,-0.01680616,-0.05133381
2021-07-12,0.022375189,0.018627565,0.00037126665,-0.010588397,-0.057929747
2021-07-13,0.019213153,0.02590683,0.0009511154,-0.013385488,-0.085359834
2021-07-14,0.0067168097,0.017962705,0.0002551399,-0.023304936,-0.08355095
2021-07-15,0.0116850855,0.014331225,0.0001391409,-0.026417118,-0.08715446
2021-07-16,0.027485171,0.016883276,0.0002551399,-0.016126063,-0.116701715
2021-07-19,0.051121663,-0.0054731914,-0.00020897572,-0.0052019088,0.005879891
2021-07-20,0.03847923,-0.0035932218,-0.00078905927,-0.0043782196,0.024631917
2021-07-21,0.03251154,0.0008126824,-0.0005572008,-0.007613639,-0.0040112436
2021-07-22,0.024498925,-0.005830805,-0.00067293213,-0.008433345,-0.026369859
2021-07-23,0.023164785,0.007662526,-9.2974e-05,0.009623719,-0.018957997
2021-07-26,0.025100913,0.013235331,0.00037109447,0.0070516863,-0.017296126
2021-07-27,0.028185869,-0.0042089657,2.2941607e-05,0.0073936395,-0.020554151
2021-07-28,0.029127445,-0.0026024692,-0.00017431309,0.0024189733,-0.028437931
2021-07-29,0.028060427,0.0073144836,-0.00017431309,-0.011280293,-0.026296876
2021-07-30,0.032685954,-0.0065137753,-0.0004060824,0.0072752624,-0.031058364
2021-08-02,0.031204466,-0.02386509,-0.0011243767,-0.0112653505,-0.016660416
2021-08-03,0.021882953,-0.017613132,-0.0008921857,-0.013065167,0.00079023733
2021-08-04,0.022524389,-0.0076397257,-0.00031300425,-0.008887367,0.012966026
2021-08-05,0.008295989,-0.011384378,-0.0001970974,-0.00999894,0.017460773
2021-08-06,0.009200696,0.011502781,0.00038279395,0.018653926,0.038786054
2021-08-09,0.004603707,0.027147036,0.00084715517,0.04296665,0.05688353
2021-08-10,0.011678293,0.028262302,0.0011947234,0.036775973,0.061666027
2021-08-11,0.007609759,0.024283491,0.00038278254,0.00018290266,0.051969804
2021-08-12,-0.0051713367,0.021108404,0.00015096551,-0.0016472291,0.047609404
2021-08-13,-0.023804186,0.017761583,0.00026669944,-0.00875264,0.04747726
2021-08-16,-0.027101234,0.014479722,0.00026653736,-0.0070816353,0.055614017
2021-08-17,-0.0108167855,0.020830091,-8.1196595e-05,-0.009326479,0.083843544
2021-08-18,0.012265216,-0.0053803083,-0.0006618943,-0.021718355,0.12620777
2021-08-19,0.012364019,-0.022540022,-0.0010098126,-0.020066736,0.15120082
2021-08-20,0.00157343,-0.026887279,-0.0011260129,-0.018526882,0.19970565
2021-08-23,-0.027542392,-0.04192205,-0.0010098126,-0.04039483,0.1353096
2021-08-24,-0.027446933,-0.032381807,-0.0005458112,-0.04443551,0.1017041
2021-08-25,-0.041840646,-0.02417867,-0.00019683354,-0.019656915,0.09793763
2021-08-26,-0.024105856,-0.01856354,0.00027909028,-0.01854024,0.117513
2021-08-27,-0.04598711,-0.027893992,-0.0008815785,-0.028790556,0.12642881
2021-08-30,-0.040023785,-0.040202767,-0.0012300289,-0.028510105,0.14103696
2021-08-31,-0.034393504,-0.027747877,-0.0012295701,-0.02784599,0.12026498
2021-09-01,-0.026316363,-0.03993415,-0.0014968363,-0.03319057,0.14587465
2021-09-02,-0.031213533,-0.051313367,-0.0018454739,-0.030109053,0.12645298
2021-09-03,-0.038236927,-0.044717442,-0.002659334,-0.042635866,0.14509676
2021-09-07,-0.037119865,-0.01929086,-0.0018464177,-0.018353574,0.15802893
2021-09-08,-0.032309406,-0.016393999,-0.0024276902,0.0017917054,0.14667536
2021-09-09,-0.011339244,-0.024713393,-0.0026594265,-0.00017854822,0.17801812
2021-09-10,0.0041632457,-0.021702327,-0.0028930898,-0.011127545,0.16299093
2021-09-13,0.004563584,-0.02306949,-0.0038227825,-0.016954698,0.14769682
2021-09-14,0.017659906,-0.049011637,-0.0035895668,-0.020164086,0.16014068
2021-09-15,0.013262107,-0.0522712,-0.0032411653,-0.005556779,0.14294954
2021-09-16,0.017453535,-0.048869427,-0.0040568793,0.016446354,0.13220789
2021-09-17,0.02620528,-0.03310253,-0.0040577212,0.024130989,0.15567398
2021-09-20,0.048368756,-0.04695582,-0.0038237716,0.023902599,0.1636003
2021-09-21,0.050213233,-0.037859306,-0.004288843,0.009828675,0.17534207
2021-09-22,0.036065735,-0.025775986,-0.003941642,0.016190298,0.12801535
2021-09-23,0.033591777,-0.006308713,-0.003244709,0.02756595,0.12199977
2021-09-24,0.033973005,0.006564268,-0.0027803674,0.02030675,0.11103126
2021-09-27,0.038556553,0.0030210505,-0.0031183648,0.023433883,0.098530605
2021-09-28,0.062949106,0.023149304,-0.002186186,0.031046512,0.10609174
2021-09-29,0.06735429,0.011028223,-0.0027670271,0.027211295,0.06522512
2021-09-30,0.084353305,0.02162211,-0.002068743,0.020671437,0.05045471
2021-10-01,0.076002836,0.028086497,-0.0020789069,0.031399284,0.06750383
2021-10-04,0.08983601,0.028759114,-0.0027782167,0.030317063,0.052697863
2021-10-05,0.07617404,0.051396057,-0.002080116,0.039900478,0.053632095
2021-10-06,0.063949175,0.027318988,-0.0039442913,0.04803097,0.048385315
2021-10-07,0.055664048,0.03634581,-0.0042959866,0.058903106,0.025300598
2021-10-08,0.06500791,0.03896746,-0.003130835,0.060370293,0.018474786
2021-10-11,0.07261629,0.028870992,-0.0024334781,0.060710713,0.0074753677
2021-10-12,0.07903085,0.009369672,-0.0028985792,0.048946284,0.008163235
2021-10-13,0.0730076,0.0075833322,-0.0021997262,0.04040424,-0.018589266
2021-10-14,0.05971751,0.0076283584,-0.002316303,0.034746446,-0.023177523
2021-10-15,0.050340887,0.023974959,-0.0019677589,0.04309123,-0.06632255
2021-10-18,0.044565465,0.0074993307,-0.0024368186,0.022898605,-0.055780273
2021-10-19,0.03820537,0.006825096,-0.0027861462,0.011000032,-0.033741374
2021-10-20,0.03695151,0.029526252,-0.003367968,0.001317294,-0.051155277
2021-10-21,0.011791066,0.05567251,-0.00022088371,0.000599557,-0.16837947
2021-10-22,0.02501983,0.036650263,0.0004776368,-0.006878278,-0.17335983
2021-10-25,2.1960219e-05,0.053265147,-0.0008038825,-0.02051319,-0.21432428
2021-10-26,-0.012046936,0.051179655,-0.00045429863,-0.0091061555,-0.24660079
2021-10-27,0.007593158,0.034395993,-0.0015053381,-0.017278986,-0.19063355
2021-10-28,-0.010749128,0.049646787,-0.0010378427,-0.008664252,-0.20921458
2021-10-29,-0.001002192,0.0327652,-0.001971464,-0.0025835487,-0.16022772
2021-11-01,0.017753178,0.031878483,-0.0028029147,-0.004247347,-0.14598219
2021-11-02,0.016362498,0.0100140255,-0.0035005629,-0.0015566654,-0.12903029
2021-11-03,0.0035011831,0.025979001,-0.0036183712,0.0006633536,-0.10941047
2021-11-04,0.008169292,0.013108274,-0.0040815533,-0.006402751,-0.08305029
2021-11-05,-0.0041921926,0.012933956,-0.0039633717,-0.016862983,-0.12149109
2021-11-08,-0.011949168,0.012424792,-0.0033835117,-0.029833375,-0.1407958
2021-11-09,0.0068658213,-0.01017741,-0.0036145113,-0.03046703,-0.15425947
2021-11-10,0.0060855635,0.008663007,-0.0008402934,-0.029242307,-0.12183996
2021-11-11,-0.004937881,0.021417063,-0.00060752966,-0.03697188,-0.14507644
2021-11-12,-0.023146579,0.01829877,-0.001190141,-0.043105584,-0.15279573
2021-11-15,-0.0058856797,0.02712025,-0.001657892,-0.041975614,-0.12687972
2021-11-16,0.00011327542,0.034283165,-0.0017750057,-0.02535934,-0.11778313
2021-11-17,0.008748301,0.017674508,-0.0022417028,-0.03220355,-0.08178154
2021-11-18,0.019410323,0.016342394,-0.0024758843,-0.026624784,-0.0648144
2021-11-19,0.020382687,0.0018689266,-0.0022426897,-0.023268456,-0.02678419
2021-11-22,0.024480322,0.002681651,-0.0011928814,-0.0008893912,-0.027281083
2021-11-23,0.0203867,0.02559749,-0.0006082169,0.014952244,-0.05938147
2021-11-24,0.015197216,0.011628572,-0.00049172225,0.022717562,-0.06638165
2021-11-26,0.043526094,-0.0399272,-0.0036445218,0.008831108,0.0739959
2021-11-29,0.03099929,-0.036023382,-0.0035255107,0.017550122,0.07615614
2021-11-30,0.031259567,-0.05655349,-0.0039972938,0.021282472,0.115793675
2021-12-01,0.04148915,-0.060117885,-0.004933966,0.0049827616,0.1556908
2021-12-02,0.022327628,-0.068578765,-0.003884892,0.01507578,0.12582804
2021-12-03,0.029822024,-0.07798283,-0.0050550704,0.009734554,0.12382202
2021-12-06,0.027114965,-0.05751302,-0.0038860033,0.024190607,0.1052053
2021-12-07,0.009341092,-0.053239163,-0.0029522236,0.023286538,0.0920606
2021-12-08,-0.007177559,-0.02696204,-0.002833891,0.019344399,0.07009009
2021-12-09,5.692718e-06,-0.047764078,-0.0037734634,0.022590699,0.11488621
2021-12-10,-0.027231967,-0.059523538,-0.0057689366,0.01672806,0.11308669
2021-12-13,-0.028771961,-0.06729397,-0.005882508,0.029965684,0.123507984
2021-12-14,-0.032998174,-0.05876081,-0.0055336226,0.036848877,0.13141857
2021-12-15,-0.06832808,-0.037256047,-0.0050617857,0.029298754,0.12646149
2021-12-16,-0.055232804,-0.045894016,-0.005268778,0.022752944,0.11778313
2021-12-17,-0.05681691,-0.0587784,-0.00527145,0.028088095,0.15180588
2021-12-20,-0.048638802,-0.063425645,-0.0072684255,0.016029771,0.1709353
2021-12-21,-0.07119206,-0.041414138,-0.007508335,0.0034666331,0.14632386
2021-12-22,-0.056608785,-0.045681592,-0.0070382296,-0.008877238,0.1372403
2021-12-23,-0.044960987,-0.04214967,-0.006921304,-0.005221663,0.1312664
2021-12-27,-0.052279674,-0.04789617,-0.006652838,-0.006753577,0.10800597
2021-12-28,-0.041794907,-0.040544134,-0.006417154,0.0011852375,0.1063871
2021-12-29,-0.06685879,-0.037395798,-0.007125108,5.9371665e-05,0.11145546
